video_id,title,description,channel_title,channel_id,published_at,search_keyword,url,view_count,like_count,comment_count,duration
8WDh6Jj2hW4,Crypto Crash 10 Oktober 2025,,Josh Gultom,UCwmVKYnABQT1oghep7q7WHA,2025-10-16T14:30:55Z,October 2025 crypto crash,https://www.youtube.com/watch?v=8WDh6Jj2hW4,422113,5934,726,PT2M9S
cgk6u8tk5Zo,WARNING: If You Still Hold Crypto in November 2025… GET READY!,"WARNING: If You Still Hold Crypto in November 2025… GET READY! ✓ Bitunix (no kyc, $100000 bonus): ...",Altcoin Daily,UCbLhGKVY-bJPcawebgtNfbw,2025-10-26T21:47:14Z,October 2025 crypto crash,https://www.youtube.com/watch?v=cgk6u8tk5Zo,89844,4060,373,PT10M6S
KRIYwg1NXaE,market crash in October 2025 #cryptoairdrop #cryptocrash #bitcoin #bitcoinnews,,CryptoView ,UCUCKQNKulWUkJ7RChdGSK7Q,2025-10-13T14:23:16Z,October 2025 crypto crash,https://www.youtube.com/watch?v=KRIYwg1NXaE,15,0,0,PT7S
lSwoXxiYfl0,⚡ Unstoppable Crypto Crash 💥 Bitcoin Collapsing Right Now 2025 #btcusd #crypto #cryptocurrency,Unstoppable Crypto Crash Bitcoin Collapsing Right Now 2025 #btcusd #crypto #cryptocurrency #cryptonews #btcusd Crypto ...,CaptureLiveMarket,UCRTIHLAbz7ldPUrn75QzbDQ,2025-10-13T12:31:24Z,October 2025 crypto crash,https://www.youtube.com/watch?v=lSwoXxiYfl0,2073,0,1,PT14S
FL0DZgUCqG4,Crypto crash of 2025 | Bitcoin and alt coins update,,PUSHPENDRA SINGH DIGITAL,UC0iDL9CSqHtlzJDZLGKJX0Q,2025-10-11T13:07:55Z,October 2025 crypto crash,https://www.youtube.com/watch?v=FL0DZgUCqG4,58027,2669,194,PT1M46S
bGx6miAIySU,"Crypto Crash 2025  Bitcoin, Ethereum, and Solana Plunge! #shorts #trending #youtubeshorts","October 10–11, 2025 marked one of the most devastating weekends in crypto history. Over $19 billion of leveraged positions were ...",zwny,UCG60SLq9KEX6tyQySUHmvhA,2025-10-26T23:28:24Z,October 2025 crypto crash,https://www.youtube.com/watch?v=bGx6miAIySU,319,1,0,PT27S
TgdFtp5fNQA,FLASH CRYPTO CRASH SHOCKS EVERYONE!,"Track risk models, plan exits, and stay ahead! 40% OFF https://app.cryptocapitalventure.ai Crypto crash on tariff news.",Dan Gambardello,UCnMku7J_UtwlcSfZlIuQ3Kw,2025-10-10T22:13:30Z,October 2025 crypto crash,https://www.youtube.com/watch?v=TgdFtp5fNQA,37663,1989,472,PT21M40S
Kp4xlEPVidQ,Simpsons Predict USA Stock Market will Crash on 23 October 2025 #simpsonsprediction #stocks,"""When Wall Street sneezes, the whole world catches a cold""",The Frugal Investor,UC8Wxjlm3K0sGp9qMYGCJsBA,2025-09-14T14:11:12Z,October 2025 crypto crash,https://www.youtube.com/watch?v=Kp4xlEPVidQ,17579,106,16,PT18S
2EDWRcFr1XA,Crypto Crash 2025: Bitcoin &amp; Ethereum Plunge | Billions Wiped Out in October Market Shock,"Explore the dramatic October 2025 crypto market crash that shook the industry to its core. In this video, CryptoVtex breaks down ...",CryptoVtex,UCs3LEMIANencYtqiDGCRBmg,2025-10-18T12:23:37Z,October 2025 crypto crash,https://www.youtube.com/watch?v=2EDWRcFr1XA,5,0,0,PT8S
7VwWYq-nnzw,⚠ CRYPTO COLLAPSE - What Is Next?,Join Premium: https://the-bitcoin-strategy.com Public Telegram: https://t.me/bitcoinstrategychannel Trading Platform: ...,Gerhard - Bitcoin Strategy,UCfQaLLoJYaxg9ZNJVHCR9Lg,2025-10-11T04:28:01Z,October 2025 crypto crash,https://www.youtube.com/watch?v=7VwWYq-nnzw,22967,511,193,PT7M41S
ZHAcmTinw7E,"$10,000 XRP…😨 (October 31st, 2025)","ツFollow me on My REAL Instagram @TradeshipUniversity and DM ""CRYPTO"" for Automated Trading!",Crypto Cam,UCeWpf1LM1DOROkq5KH3XIug,2025-09-13T22:10:51Z,October 2025 crypto crash,https://www.youtube.com/watch?v=ZHAcmTinw7E,203143,3198,502,PT33S
Ba2L0nnUzsg,Raoul Pal: The 2025 Crypto Bull Run Is CANCELED (i&#39;m sorry),"Crypto Holders.. latest news ✓ Bitunix (no kyc, $100000 bonus): https://www.bitunix.com/register?vipCode=AltcoinDaily WEEX ...",Altcoin Daily,UCbLhGKVY-bJPcawebgtNfbw,2025-09-25T22:45:27Z,October 2025 crypto crash,https://www.youtube.com/watch?v=Ba2L0nnUzsg,119358,3850,386,PT9M17S
Ka3zqcFLKNs,Crypto Market Crash: Final Shakeout Before Q4 Bull Run?,"The crypto market just saw one of its biggest shakeouts of the year, with over $1.7B in liquidations as Bitcoin fell below $113K, ...",Coin Bureau,UCqK_GSMbpiV8spgD3ZGloSw,2025-09-23T12:09:52Z,October 2025 crypto crash,https://www.youtube.com/watch?v=Ka3zqcFLKNs,68959,2786,172,PT10M31S
Eup2tVXhgTY,&quot;We Got PLAYED! This Is the REAL REASON for the Crypto Crash&quot; - Raoul Pal &amp; Mike Novogratz,"Trade Crypto, Gold, and Silver 24/7 with tax advantages, 1% fees, top security, and easy sign-up—start now!",Savvy Finance,UClMW7w5LIPCr98Hw17GeiYQ,2025-10-19T19:46:23Z,October 2025 crypto crash,https://www.youtube.com/watch?v=Eup2tVXhgTY,39338,993,1,PT20M43S
uhBR5ig1U4I,October 10 : The day it wiped Crypto traders!📈,October 10 : The day it wiped All traders!   . . Follow for more updates!   . . . . . ⚠️ Disclaimer: This post showcases my personal ...,UrordinaryTrader,UCDS2BkYO35Dm4sPtYzep8mg,2025-10-13T09:05:59Z,October 2025 crypto crash,https://www.youtube.com/watch?v=uhBR5ig1U4I,1957,53,4,PT1M41S
kbPqzcd8OGg,"Crypto Flash Crash October 10, 2025 Tariff Shock | $7 Billion Liquidation Explained","The October 10, 2025, crypto market flash crash was one of the most devastating crashes in recent history. Triggered by U.S. ...",TECHi,UCdh4KISZr-5f1G53q5Xku0A,2025-10-21T14:01:13Z,October 2025 crypto crash,https://www.youtube.com/watch?v=kbPqzcd8OGg,77,2,0,PT9M33S
qAXOxiMrw28,Bitcoin CRASH Explained,,Discover Crypto,UCjemQfjaXAzA-95RKoy9n_g,2025-09-22T17:07:17Z,October 2025 crypto crash,https://www.youtube.com/watch?v=qAXOxiMrw28,68484,680,45,PT35S
TsfBczzIFro,Crypto Just Crashed. Don&#39;t Make These Mistakes.,"In this video, Lady reveals the real reason behind the biggest crypto dump in history. This wasn't a random crash; it was all ...",Market Lab,UCBCbEDO5tMP6saX9yNU_zYQ,2025-10-14T17:00:07Z,October 2025 crypto crash,https://www.youtube.com/watch?v=TsfBczzIFro,42869,3081,401,PT9M7S
0qYsqWhptAM,Crypto Crash: The Biggest Liquidation Event EVER!,"Yesterday marked crypto's largest liquidation event ever, surpassing FTX and Luna. Altcoins plummeted, triggering a cascade.",AllinCrypto,UClFNxD5mGJa-XlZIcX2ko2A,2025-10-11T23:03:56Z,October 2025 crypto crash,https://www.youtube.com/watch?v=0qYsqWhptAM,13577,425,197,PT1M18S
NM11G6arko8,Urgent Update: Crypto Crash in September - Load Up Before October! (Ethereum Prediction),My FREE Daily 5-Min Crypto Newsletter: https://www.cryptonutshell.com/subscribe ⮕ Cold Storage Wallet: ...,Crypto Nutshell,UC1owqQFqzvOP5hEWBINpDWg,2025-09-07T15:15:08Z,October 2025 crypto crash,https://www.youtube.com/watch?v=NM11G6arko8,29357,942,88,PT15M9S
TSyX3pEBCsA,"This Crypto Crash is &quot;ONCE IN A DECADE&quot; Opportunity (Ethereum, Solana, XRP)","""This Crypto SuperCycle Dip is ONCE IN A LIFETIME"" (Ethereum, Solana, XRP) ✓ Bitunix (no kyc, $100000 bonus): ...",Altcoin Daily,UCbLhGKVY-bJPcawebgtNfbw,2025-09-26T21:40:39Z,October 2025 crypto crash,https://www.youtube.com/watch?v=TSyX3pEBCsA,52194,2613,227,PT10M44S
8B4V-j5-L4Y,Why Is Bitcoin CRASHING? | 5 Bullish Signals for October,"Bitcoin just crashed hard, but don't let the fear fool you. From massive ETF inflows to billionaire accumulation, there are still 5 ...",Simply Bitcoin,UCB6Q0S1gUHXMe5-Jjx0_laQ,2025-09-26T22:06:29Z,October 2025 crypto crash,https://www.youtube.com/watch?v=8B4V-j5-L4Y,30597,1694,77,PT15M11S
NyVZb6X2ah4,Warning: Crypto Is About To Crash! Load Up Before October [2 Weeks Left],My FREE Daily 5-Min Crypto Newsletter: https://www.cryptonutshell.com/subscribe ⮕ Cold Storage Wallet: ...,Crypto Nutshell,UC1owqQFqzvOP5hEWBINpDWg,2025-09-20T15:15:01Z,October 2025 crypto crash,https://www.youtube.com/watch?v=NyVZb6X2ah4,16527,751,78,PT12M20S
-cpuuci08_Y,Crypto Blood Bath Reasons | Even Bigger Crash Coming?,CRYPTO TRADING AUTOMATION MASTERY BOOTCAMP: https://rzp.io/rzp/5DAYBATCH Attend 5 Days | Learn. Automate.,Pushkar Raj Thakur: Stock Market Educator 📈,UCEAAzv2OBqxsSczKJ2QZyGQ,2025-10-11T14:45:11Z,October 2025 crypto crash,https://www.youtube.com/watch?v=-cpuuci08_Y,281907,8592,141,PT20M34S
O2wjCEVGQao,Biggest Crypto Market Crash Because of TRUMP !,Crypto Market Crash Because of TRUMP ! Crypto Market Crash Biggest Crypto Market Crash #cryptomarket #cryptocurrency ...,KreatorKapil,UCcSUb4G5bl2lsol-L5q4qbA,2025-10-11T11:06:37Z,October 2025 crypto crash,https://www.youtube.com/watch?v=O2wjCEVGQao,7465,127,5,PT40S
HrRffxk1PUQ,The BIGGEST Crypto Crash In History - Will Altcoins Survive?,The biggest crash crypto and the altcoins have EVER seen just happens - BUT - what happens next? Will they survive? Here are ...,No Bs Crypto,UCVcMN2cHlHw1Q7wkF2GR8SQ,2025-10-11T14:18:07Z,October 2025 crypto crash,https://www.youtube.com/watch?v=HrRffxk1PUQ,29501,1366,133,PT16M10S
7KtiEl03_4Q,Biggest Crypto Crash in History | Crypto Crash 2025 | Bitcoin Crash,,Global Rashid,UCBHklO-lXnmJ1hUeon3fECA,2025-10-11T03:48:45Z,October 2025 crypto crash,https://www.youtube.com/watch?v=7KtiEl03_4Q,7052,294,57,PT2M36S
y0oIfVR94W8,Cryptocurrency Market CRASH!! What Happens Next?? | 11 October 2025,Cryptocurrency Market CRASH!! What Happens Next?? crypto crash 2025 bitcoin crash today crypto market crash why is bitcoin ...,JK Digital Academy,UC0nCV3XbcGWMO1tmGyFXXPg,2025-10-10T21:50:31Z,October 2025 crypto crash,https://www.youtube.com/watch?v=y0oIfVR94W8,1870,10,0,PT29S
ZowEoJhqeu8,The Crypto Bull &amp; Bear Case For The End Of 2025,"Crypto's wild 2025 isn't over. One last Bitcoin leg up or a bear trap? ETFs, rate cuts, and gold signals hint at what's next. Bull or ...",Lark Davis,UCl2oCaw8hdR_kbqyqd2klIA,2025-10-06T23:00:39Z,October 2025 crypto crash,https://www.youtube.com/watch?v=ZowEoJhqeu8,30276,1246,109,PT10M22S
MwNBxZ6jqQg,"🔥 Crypto Crash October 11, 2025 — Bitcoin &amp; Ethereum Collapse! U.S.–China Tensions","Crypto Crash October 11, 2025 — Bitcoin & Ethereum Collapse! U.S.–China Tensions and Monday Forex Opportunity On October ...","Whyle, The Trader",UCKKrJIK5VpDsN1kvtiv4tEA,2025-10-11T08:36:47Z,October 2025 crypto crash,https://www.youtube.com/watch?v=MwNBxZ6jqQg,57,0,0,PT49S
ZeWN8kgDhsI,Top 50 Most Valuable Cryptocurrencies in the World – 2025 💰,Top 50 Most Valuable Cryptocurrencies in the World – 2025 Discover the most powerful and valuable digital currencies ...,World Rank,UCzanYI0arszGvHwUGH57Mxg,2025-10-21T17:00:47Z,October 2025 crypto crash,https://www.youtube.com/watch?v=ZeWN8kgDhsI,107461,0,6,PT6S
9-kXZLHEdsE,"Predictions October 2025 Peak Tensions Are Coming, #predictions #crypto #stocks #psychicdebbiegriggs",Psychic Debbie will be giving you her insight and predictions for the month of October 2025. She will give the info her spiritual ...,psychic debbie griggs,UC4BB5YycMAl0OCQsZqLvb4Q,2025-09-24T01:13:28Z,October 2025 crypto crash,https://www.youtube.com/watch?v=9-kXZLHEdsE,12983,1628,177,PT56M
ZYnpB1bB-a0,BITCOIN SET TO EXPLODE ABOVE THIS TRENDLINE! BITCOIN PRICE PREDICTION OCTOBER 2025,A MAJOR BITCOIN BREAKOUT IS ABOUT TO TAKE PLACE!!! Are you ready? Sign Up For the First Cohort Trading Group ...,Crypto Jebb,UCviqt5aaucA1jP3qFmorZLQ,2025-10-07T18:38:48Z,October 2025 crypto crash,https://www.youtube.com/watch?v=ZYnpB1bB-a0,8976,633,230,PT17M13S
oFG8xRXmloo,October 10 Crypto Crash: Who Pulled the Strings #crypto #cryptomarket #cryptoworld,"October 10, 2025 – the crypto market shuddered. Bitcoin, Ethereum, altcoins… billions disappeared. Panic, liquidations, and a ...",Cryptic Hour,UCtAyaYSLOE_HTVm0ubXVCdA,2025-10-17T05:01:01Z,October 2025 crypto crash,https://www.youtube.com/watch?v=oFG8xRXmloo,164,2,0,PT1M11S
DRe5DnCHq5U,"Crypto market CRASH ! Bitcoin, Ethereum tank after Trump imposes 100% tariff on Chinese imports",,Abhishek Kar,UCcanCrgSWVYW7ZFNKQZso0g,2025-10-11T01:37:03Z,October 2025 crypto crash,https://www.youtube.com/watch?v=DRe5DnCHq5U,250051,3891,105,PT49S
RdohfNeU6W4,Why Did Crypto Crash 10th October 2025 And Should You Panic Sell?,"Is it time to panic sell or is it time to buy the dip, i explain why crypto crashed last night and how leverage trading works.",Kader Calls,UCu3j8Wf8OrsgrneWe2rlq5A,2025-10-11T08:51:35Z,October 2025 crypto crash,https://www.youtube.com/watch?v=RdohfNeU6W4,926,31,8,PT6M39S
pawAG2HzvVA,Bitcoin Crash: 2 Sobering Truths for Crypto Investors,Bitcoin Crash: 2 Sobering Truths for Crypto Investors ~~ Get The Hottest Crypto Deals https://www.coinbureau.com/deals/ ...,Coin Bureau Podcast,UCR93yACeNzxMSk6Y1cHM2pw,2025-10-18T16:01:31Z,October 2025 crypto crash,https://www.youtube.com/watch?v=pawAG2HzvVA,25685,303,14,PT44S
3OWrHOGmjvw,SELL! EXIT BITCOIN and CRYPTO Before The REAL Crash (URGENT),"I'm gonna be dumping all my crypto, bitcoin and stocks after this happens. INVESTMENT AND INCENTIVE DISCLAIMER -For a ...",Alex Becker's Channel,UCKQvGU-qtjEthINeViNbn6A,2025-10-11T10:43:22Z,October 2025 crypto crash,https://www.youtube.com/watch?v=3OWrHOGmjvw,379523,15718,2515,PT31M52S
DmGr79TzjxM,This Crypto Crash Will NOT End Here! [Here&#39;s Why],The crash has hit hard but the pain isn't over yet. Ran breaks down why max pain is still likely down before any real recovery can ...,Crypto Banter,UCN9Nj4tjXbVTLYWN0EKly_Q,2025-10-14T20:53:59Z,October 2025 crypto crash,https://www.youtube.com/watch?v=DmGr79TzjxM,58183,3813,112,PT33M41S
eOJ1hzUh7BI,Cryptos crashing? Bull market is over? Buy vs sell? What is going on in the crypto? Bitcoin dead?,,MrNasdog,UCINItn-HTTCuq8IxZovti0Q,2025-10-10T23:12:01Z,October 2025 crypto crash,https://www.youtube.com/watch?v=eOJ1hzUh7BI,16543,470,31,PT1M10S
UQDJCpPB7aI,Understanding the October 2025 Crypto Crash,"Discover the details behind the unprecedented October 2025 crypto crash! Learn what triggered the massive liquidation, how ...",SeeNarrow,UCbLb8c49ThxbfPCBmEOPfXA,2025-10-13T19:26:21Z,crypto crash October 2025,https://www.youtube.com/watch?v=UQDJCpPB7aI,12,0,0,PT45S
bXqTIG08tPk,Ukrainian Crypto Trader Konstantin Galich Found Dead in Lamborghini After Market Crash | W,"Konstantin Galich, 32, a prominent Ukrainian crypto trader and co-founder of Cryptology Key trading academy, was found dead ...",ETimes,UC1sAQpHqHy4SV6ZSu98xGmg,2025-10-12T13:30:40Z,crypto crash October 2025,https://www.youtube.com/watch?v=bXqTIG08tPk,17778,104,50,PT3M23S
QA-bUmfHEMQ,Will Crypto TOP or COLLAPSE In Q4 2025!?,"October was supposed to be “Uptober” — instead, it became one of the most brutal months in crypto history. From Bitcoin's new ...",Coin Bureau,UCqK_GSMbpiV8spgD3ZGloSw,2025-10-31T14:00:47Z,crypto crash October 2025,https://www.youtube.com/watch?v=QA-bUmfHEMQ,29370,1152,100,PT14M28S
3pcMvewLCX8,Load Up Before October!! Why This Crypto BULL MARKET Will Be SHOCKING [2 Weeks Left],My FREE Daily 5-Min Crypto Newsletter: https://www.cryptonutshell.com/subscribe ⮕ Cold Storage Wallet: ...,Crypto Nutshell,UC1owqQFqzvOP5hEWBINpDWg,2025-09-17T15:15:00Z,crypto crash October 2025,https://www.youtube.com/watch?v=3pcMvewLCX8,21696,707,42,PT16M26S
cOj2ezGQmHU,Why the cryptocurrency collapse in October 2025,"October 2025: The crypto market collapses, shaking global finance. Bitcoin, Ethereum, and other cryptocurrencies suffer a historic ...",Fiwork_co,UCLOPwcNFVGuvKhufg4HAjSA,2025-10-27T17:56:59Z,crypto crash October 2025,https://www.youtube.com/watch?v=cOj2ezGQmHU,10,0,0,PT1M
oJ6qWpQrWsE,$19 Billion in Liquidations?,billion in crypto liquidations?! Not quite. Here's what most traders miss when reading those headlines. You need to understand ...,Chart Champions,UCHOP_YfwdMk5hpxbugzC1wA,2025-10-15T09:01:18Z,$19 billion liquidation,https://www.youtube.com/watch?v=oJ6qWpQrWsE,4245,117,4,PT50S
_KRc0L1qgA4,$19 BILLION Liquidated in ONE Day - Crypto’s Black Friday Massacre 🩸 #shorts #viralshorts,"October 10, 2025 - The day crypto markets experienced the largest liquidation event in history. What Happened: • Bitcoin crashed ...",CoinPulse,UCmpbpQJekKrNp0qlDzrVI6g,2025-10-11T20:47:04Z,$19 billion liquidation,https://www.youtube.com/watch?v=_KRc0L1qgA4,1161,26,3,PT1M17S
tNZrygJjT9E,The worst day in crypto history….$19 billion liquidated.,,Jack Mac Shorts,UCKgX5eRR0JUtDf4lHN80uyA,2025-10-11T18:15:53Z,$19 billion liquidation,https://www.youtube.com/watch?v=tNZrygJjT9E,4033,75,12,PT2M25S
Zei-wUwcMxY,$19 BILLION CRYPTO CRASH! | is the Bull Cycle Over?,BILLION LIQUIDATED! Isa sa pinakamalupit na crypto crashes nitong taon — at lahat nagsimula sa isang Trump tweet tungkol sa ...,Not Your Financial Advisor,UCftgvOvgq2VuYGRFCSN2G5A,2025-10-14T06:30:06Z,$19 billion liquidation,https://www.youtube.com/watch?v=Zei-wUwcMxY,7044,227,60,PT34M11S
C56s07nY_M4,Biggest Crypto Crash in History ($19 BILLION Liquidated) — Should You Sell Everything?,Ready to transform your health & wealth? Join the 90-Day Health & Wealth Challenge here: BreakBigBarriers.com My ...,Kamilah Stevenson,UCqUPJMQdkCN6lsLVDnichPA,2025-10-11T19:53:33Z,$19 billion liquidation,https://www.youtube.com/watch?v=C56s07nY_M4,18011,1185,206,PT45M2S
0f3_kYNAgxM,How Bitcoin Survived the $19 Billion Crypto Massacre,"The biggest crypto liquidation in history just detonated: $19 billion vaporized in a single day, 1.6 million traders margin-called into ...",Swan Bitcoin,UCl4takhOQtiyprismCPsa2Q,2025-10-12T18:31:35Z,$19 billion liquidation,https://www.youtube.com/watch?v=0f3_kYNAgxM,33997,1477,148,PT13M43S
EkVDrzVDGM0,THE LARGEST LIQUIDATION IN HISTORY // $19 BILLION,"After taking some time off and watching the largest liquidation event in history, I'm back! // JOIN THE FAMILY Subscribe: ...",Hack Crypto,UCeinlp4279CsUdVYvKDloRg,2025-10-13T15:45:45Z,$19 billion liquidation,https://www.youtube.com/watch?v=EkVDrzVDGM0,12420,193,573,PT8M25S
oeFcI0dMiQs,"👘🪭Crypto market hit the largest liquidation in history, $19 billion liquidated after tariffs shock🪭👘","Welcome to Crypto Kimono! Join our cute kimono host for daily XRP news shorts — fast, fun, and kawaii updates on ...",Crypto Kimono,UCbSSJ-A8uxQKci3jzgjoIDw,2025-10-11T22:02:35Z,$19 billion liquidation,https://www.youtube.com/watch?v=oeFcI0dMiQs,583,0,6,PT8S
M5W2NyiULbw,19 Billion Liquidated From the Crypto Markets,, DADS DEFI SPACE,UCC9AGRhjoN7VKJI2XDW3GIg,2025-10-13T00:56:28Z,$19 billion liquidation,https://www.youtube.com/watch?v=M5W2NyiULbw,536,0,0,PT24S
DrtqRHNVnmc,$19 Billion Liquidated. Biggest wipeout in crypto history. Did you make it out? #crypto,,Birk Ventures,UCLJ5yXevVGFI-XlP2VPm7DA,2025-10-11T16:28:05Z,$19 billion liquidation,https://www.youtube.com/watch?v=DrtqRHNVnmc,1577,9,0,PT7S
2IBudSDsSjw,$19 BILLION LIQUIDATION: What Just Happened in Crypto? 😱,"In this eye-opening crypto analysis, we break down the massive $19 billion liquidation that sent shockwaves through the entire ...",The luxury mindset ,UC5TZYLRWSadW2kHmWTT1w0A,2025-10-13T12:22:39Z,$19 billion liquidation,https://www.youtube.com/watch?v=2IBudSDsSjw,3,0,0,PT12M38S
iDEfULDh96k,$19 Billion Liquidated in One Day! The Truth Behind the Crypto Crash 2025”,"In October 2025, the crypto market faced its biggest crash in years — over $560 billion wiped out in just 24 hours! Bitcoin fell ...",Web3 Studies,UCD0fpcDkoIw9Qx_5JCbv-hw,2025-10-13T08:06:57Z,$19 billion liquidation,https://www.youtube.com/watch?v=iDEfULDh96k,8,1,0,PT4M15S
3mTltHjfqzI,crypto Market Hit The Largest Liquidation in History $19 Billion 🤯#cryptocurrency #cryptocrash,"crypto crash, cryptocurrency crash, bitcoin crash, crypto market crash, why is crypto crashing, what to do in crypto crash, buy the ...",𝐓𝐫𝐚𝐝𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 𝐊𝐫𝐢𝐬𝐡𝐚𝐧,UCOr3O9sALLUoLIGHdJgZEZw,2025-10-11T18:16:10Z,$19 billion liquidation,https://www.youtube.com/watch?v=3mTltHjfqzI,706,6,1,PT11S
p6NU3MfhFQ4,🚨 $19 BILLION WIPED OUT! October 10 2025 – The Largest Crypto Liquidation in History | HODLnTrade,"On Friday October 10th 2025, the crypto markets witnessed the largest liquidation event in history — over $19 billion wiped out in ...",HODLnTrade,UCiJzBkuwYKZz-jtVddr--HQ,2025-10-12T18:05:49Z,$19 billion liquidation,https://www.youtube.com/watch?v=p6NU3MfhFQ4,47,2,2,PT6M32S
5Sz92pg0YWQ,$19 Billion Liquidation: Crypto Bull Trap or Opportunity?,"""$19 Billion Liquidation: Bull Trap or Opportunity? Must Watch!"" Did the $19 Billion Liquidation signal the end for crypto, or a ...",ACS Wealth,UCqO-pbHJchHFU6KSIBF7R0A,2025-10-17T17:07:32Z,$19 billion liquidation,https://www.youtube.com/watch?v=5Sz92pg0YWQ,17,5,4,PT7M4S
mWmFQKOG6Xo,Crypto’s $19 Billion Crash 💰 | Trump Tariff On China | Biggest Liquidation Ever!,"The crypto market just faced its darkest hour. On October 10th, more than $19 billion was wiped out in a matter of hours — Bitcoin ...",1 Minute Investor,UCZC-6xzsGd3kA8bPWPFk0HQ,2025-10-14T12:02:43Z,$19 billion liquidation,https://www.youtube.com/watch?v=mWmFQKOG6Xo,237,0,0,PT58S
QcMRztC2Y0s,"Crypto market the biggest crash, $19 Billion Liquidated",shorts Crypto just got HIT HARD—and it happened FAST. After Donald Trump announced a shocking 100% tariff on Chinese ...,Crypto DailyUP,UCXYCstHBmyfG-L3a3jK0scw,2025-10-11T11:28:19Z,$19 billion liquidation,https://www.youtube.com/watch?v=QcMRztC2Y0s,25,2,0,PT43S
